Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_หนองสองห้อง_คึมชาด_M7_U7,หนองสองห้อง,คึมชาด,7,7,15.7833,102.8917,615,355.0,580.0,355.0,330.0,24.0,1.0,225.0
KK10_หนองสองห้อง_คึมชาด_M8_U8,หนองสองห้อง,คึมชาด,8,8,15.7833,102.8917,371,220.0,360.0,220.0,213.0,7.0,0.0,140.0
KK10_หนองสองห้อง_คึมชาด_M9_U9,หนองสองห้อง,คึมชาด,9,9,15.7833,102.8917,664,414.0,680.0,414.0,381.0,33.0,0.0,266.0
KK10_หนองสองห้อง_ดงเค็ง_M10_U10,หนองสองห้อง,ดงเค็ง,10,10,15.7667,102.825,220,134.0,220.0,134.0,125.0,7.0,2.0,86.0
KK10_หนองสองห้อง_ดงเค็ง_M11_U11,หนองสองห้อง,ดงเค็ง,11,11,15.7667,102.825,323,189.0,300.0,189.0,179.0,4.0,6.0,111.0
KK10_หนองสองห้อง_ดงเค็ง_M12_U12,หนองสองห้อง,ดงเค็ง,12,12,15.7667,102.825,208,100.0,220.0,100.0,96.0,4.0,0.0,120.0
KK10_หนองสองห้อง_ดงเค็ง_M13_U13,หนองสองห้อง,ดงเค็ง,13,13,15.7667,102.825,547,337.0,520.0,337.0,319.0,6.0,12.0,183.0
KK10_หนองสองห้อง_ดงเค็ง_M1_U1,หนองสองห้อง,ดงเค็ง,1,1,15.7667,102.825,464,245.0,245.0,245.0,227.0,13.0,5.0,255.0
KK10_หนองสองห้อง_ดงเค็ง_M2_U2,หนองสองห้อง,ดงเค็ง,2,2,15.7667,102.825,538,291.0,500.0,291.0,273.0,12.0,6.0,209.0
KK10_หนองสองห้อง_ดงเค็ง_M3_U3,หนองสองห้อง,ดงเค็ง,3,3,15.7667,102.825,533,275.0,520.0,275.0,259.0,14.0,2.0,245.0
KK10_หนองสองห้อง_ดงเค็ง_M4_U4,หนองสองห้อง,ดงเค็ง,4,4,15.7667,102.825,186,97.0,180.0,97.0,92.0,5.0,0.0,83.0
KK10_หนองสองห้อง_ดงเค็ง_M5_U5,หนองสองห้อง,ดงเค็ง,5,5,15.7667,102.825,529,272.0,272.0,272.0,257.0,11.0,4.0,248.0
KK10_หนองสองห้อง_ดงเค็ง_M2_U6,หนองสองห้อง,ดงเค็ง,2,6,15.7667,102.825,392,209.0,360.0,209.0,196.0,13.0,0.0,151.0
KK10_หนองสองห้อง_ดงเค็ง_M7_U7,หนองสองห้อง,ดงเค็ง,7,7,15.7667,102.825,701,408.0,660.0,408.0,377.0,25.0,6.0,252.0
KK10_หนองสองห้อง_ดงเค็ง_M8_U8,หนองสองห้อง,ดงเค็ง,8,8,15.7667,102.825,482,270.0,410.0,270.0,253.0,15.0,2.0,140.0
